name,latitude,longitude,room type,price,reviews per month
Townhouse Apt. w/Backyard-20 min train to City!,40.6825,-73.91596,Entire home/apt,150,3
Comfortable room in Brooklyn 30 min to Manhattan,40.65168,-73.96269,Private room,50,3
Clinton Hill CrashPad Near Subway/Citibike/Pratt,40.68783,-73.96061,Shared room,40,3
"A clean, comfortable private room near Bowne park",40.76987,-73.80451,Private room,48,3
Newly Renovated 1 BD w/ AC & Netflix in Queens (2),40.75755,-73.88199,Private room,50,3
cozy apt in midtown,40.76725,-73.98669,Shared room,70,3
Astonishing Nomad Apt in the Center Of Manhattan,40.7469,-73.99038,Entire home/apt,350,3
7 minutes away from JFK,40.66992,-73.74518,Private room,34,3
Sleeping Easy on the East Side! 1 Bed/1 Bath,40.78586,-73.94475,Entire home/apt,199,3
2 story family home in Williamsburg,40.71942,-73.95748,Entire home/apt,325,3.01
Columbia area room pvt bath & entry,40.80776,-73.9654,Private room,105,3.01
Sunny 1 or 2 BR apt in Boerum Hill,40.68779,-73.98517,Entire home/apt,189,3.01
Classic Cool Comfortable LES,40.72131,-73.98527,Private room,100,3.01
Huge space and MILLION DOLLAR VIEWs,40.75848,-73.98414,Private room,130,3.01
"Plush King Size Bed, Great Location",40.81422,-73.95199,Private room,75,3.01
well designed apt with yard!,40.68068,-73.92874,Entire home/apt,280,3.01
Prime Williamsburg sanctuary,40.71238,-73.94776,Entire home/apt,125,3.01
Beautiful designer studio on 1st,40.67094,-73.97388,Entire home/apt,154,3.01
Lovely Brownstone close to subway,40.68079,-73.95556,Entire home/apt,195,3.01
Private Ground Floor Studio Apartment Near JFK/LGA,40.69961,-73.81264,Entire home/apt,49,3.01
Manhattan apt near Empire State & UN wfree US cell,40.74494,-73.97554,Entire home/apt,180,3.01
3-BDRM/2 BATH Apartment AMAZING LOCATION on UWS!,40.77836,-73.97994,Entire home/apt,489,3.01
"Eclectic, Comfortable, Quiet & Convenient on UWS",40.7975,-73.97161,Entire home/apt,199,3.01
《1》法拉盛市中心明亮干净的私人房间,40.76503,-73.83039,Private room,45,3.01
LUXURY APARTMENT 5 MIN TO LGA 20 TO JFK,40.75765,-73.89725,Entire home/apt,250,3.01
"House of Rain
(Because I’m a pluviophile)",40.81078,-73.94482,Private room,63,3.01
Cute and Comfortable Bedroom in Gowanus,40.67889,-73.987,Private room,70,3.01
Easy option to stay on 611 W 177th St.,40.84695,-73.93593,Private room,50,3.01
Private Bedroom in large 2 bedroom 1100sf apt,40.67757,-73.97017,Private room,70,3.01
MODERN 2 BEDROOM private apt in BROOKLYN,40.67221,-73.93937,Entire home/apt,149,3.01
Beautiful Bedroom & Bathroom in Brooklyn Oasis,40.6442,-73.93266,Private room,45,3.01
Manhattan - Columbus Circle Apt,40.76782,-73.98351,Entire home/apt,250,3.01
A Nice Room For Unique people,40.82952,-73.82818,Private room,140,3.01
Cozy One bedrooom Suite Mins to JFK Airport,40.68263,-73.7393,Entire home/apt,75,3.01
Cozy 2 Bedroom by the Park !,40.66595,-73.97973,Entire home/apt,195,3.01
Hostel- Twin-sized Bed in Shared Room in Brooklyn,40.70442,-73.91707,Shared room,25,3.01
1 bdr in duplex with terrasse,40.7293,-73.9834,Entire home/apt,130,3.01
"Grand Street in Brooklyn, G stop, L stop.",40.71121,-73.95028,Entire home/apt,250,3.01
"Williamsburg—Steps To Subway, Private Bath&Balcony",40.71332,-73.94177,Private room,101,3.02
Classic Brownstone private suite,40.68978,-73.93751,Entire home/apt,74,3.02
Awesome Spot near HK/Theatre Distri,40.76269,-73.9907,Private room,124,3.02
"Modern, Cozy & Bright Private Room and Bathroom",40.69634,-73.97296,Private room,70,3.02
ROOMY 2BA/3BD - Parking Included,40.6888,-73.93545,Entire home/apt,177,3.02
2 Bedroom Apartment in Prime Midtown West,40.7605,-73.99455,Entire home/apt,199,3.02
87th ST ** ALL NEW ** Central PARK,40.77773,-73.94938,Entire home/apt,450,3.02
"Large Cozy  Bedroom Apartment, brownstone",40.68642,-73.92864,Entire home/apt,100,3.02
Designers Dream Bed Stuy Studio,40.68393,-73.94967,Entire home/apt,110,3.02
Brooklyn’s lovely Luxurious Suite sleeps 5,40.63835,-74.02614,Entire home/apt,139,3.02
Minimalist Hideaway In The Heart of Bushwick,40.69796,-73.92409,Private room,43,3.02
Spaceful studio in the heart of Financial district,40.70857,-74.01005,Entire home/apt,140,3.02
Newly Renovated/Private Apt/1-br by Park and Metro,40.66912,-73.94337,Entire home/apt,114,3.02
"Beautiful, sunlit private room in Spanish Harlem",40.792,-73.94522,Private room,79,3.02
Private Room on Ground Floor close to Everything,40.76914,-73.98757,Private room,125,3.02
Spacious 1 bedroom Apartment w/ 2 beds,40.89215,-73.83351,Entire home/apt,75,3.02
Private ground floor apartment in Brooklyn,40.6714,-73.87701,Entire home/apt,55,3.02
"Cool and Cozy living room, confortable couch .",40.72299,-73.97809,Shared room,42,3.02
HUGE studio apartment near ALL!,40.6329,-73.92784,Entire home/apt,80,3.02
"SHARE;Cheapest,Silent,Clean and Safe in New York",40.73307,-73.91995,Shared room,30,3.02
BK NEST-Across Barclays & trains/City 10 mins away,40.68241,-73.97719,Entire home/apt,160,3.02
Charming two-bedroom suite in Rockaway Beach,40.57491,-73.84962,Entire home/apt,200,3.02
Private 1BR with Private Bathroom feet from subway,40.83005,-73.93992,Entire home/apt,119,3.02
Brand new Luxury & Spacious 2-Bedroom Apt in FiDi,40.70559,-74.00669,Entire home/apt,420,3.02
Charming 1BR by Washington Square Park Heart of NY,40.73236,-74.00213,Entire home/apt,370,3.02
Patty’s Home,40.84613,-73.91668,Entire home/apt,42,3.02
"Newly renovated apartment in Bensonhurst, Brooklyn",40.61487,-74.00666,Private room,70,3.02
Room Bedford Heart of Williamsburg,40.71354,-73.96183,Private room,75,3.03
Cozy bedroom in Lower East Side,40.7159,-73.99059,Private room,70,3.03
NYC space,40.85475,-73.93372,Shared room,95,3.03
Cool room Manhattan - Sleeps up to 3 guests,40.75834,-73.99277,Private room,98,3.03
All season studio in Astoria,40.77677,-73.9106,Entire home/apt,100,3.03
I LOVE NEW YORK in Theater District,40.76476,-73.98457,Entire home/apt,180,3.03
"Madison Ave BR Steps from Central Park, east 60s",40.76892,-73.96906,Private room,115,3.03
Suite Di CLASSE East village-free Str.parking+wifi,40.73105,-73.98195,Entire home/apt,150,3.03
"Perfect, Private Garden Apartment (Prime Brooklyn)",40.66794,-73.98638,Entire home/apt,149,3.03
Manhattan -Top Location - Full Apartment,40.75993,-73.96342,Entire home/apt,140,3.03
"Huge, New and Green Oasis in Brooklyn",40.63557,-74.03449,Entire home/apt,110,3.03
Live like a local in the heart of East Village!,40.72657,-73.98135,Private room,89,3.03
"Go to NYC? Stay with us. Cozy, Clean &Close all",40.73998,-73.86802,Private room,28,3.03
Cozy Clean XL Studio,40.69226,-73.94788,Entire home/apt,89,3.03
"2 Bedroom modern apartment, trains nearby, a GEM!",40.69549,-73.93006,Entire home/apt,159,3.03
"Perfectly located, bright, clean and spacious",40.71268,-73.9472,Private room,80,3.03
Sonder | Wall Street | Simple 1BR + Kitchen,40.70721,-74.01044,Entire home/apt,252,3.03
Immersive Chelsea's Art House! Great Location!!,40.74996,-73.99488,Entire home/apt,149,3.03
Sunny Upper East Side one bedroom apartment,40.7776,-73.94634,Entire home/apt,165,3.03
Amazing Studio in the heart of Midtown Manhattan,40.74789,-73.98702,Entire home/apt,220,3.03
Private Garden Apt • New Renovation,40.71625,-73.93845,Entire home/apt,140,3.04
Pre-War Williamsburg Loft,40.7184,-73.96019,Entire home/apt,295,3.04
Sunny Retreat with Roof Garden,40.68534,-73.93433,Entire home/apt,85,3.04
Dreamy Private Room in  Super Cool Bedstuy Apt.,40.68407,-73.93944,Private room,51,3.04
Space For guest,40.71078,-74.01623,Shared room,55,3.04
"Private, Spacious Garden Apartment",40.68413,-73.92693,Entire home/apt,120,3.04
Spacious Studio Suite w Adjoining Sunroom,40.77594,-73.91786,Entire home/apt,95,3.04
PrivateRoom in Beautiful Brownstone,40.68643,-73.92208,Private room,56,3.04
Great and private place to stay in Manhattan!,40.8261,-73.95139,Private room,65,3.04
Private Bedroom in Quiet Brooklyn Neighborhood,40.7052,-73.91549,Private room,49,3.04
Clinton Hill Flat,40.69242,-73.96828,Entire home/apt,999,3.04
Cozy 1 bed Apt in Hell's Kitchen!,40.76472,-73.98813,Entire home/apt,219,3.04
Gramercy Garden Terrace,40.73737,-73.97995,Private room,97,3.04
Artistic pad in East Williamsburg!,40.69968,-73.92645,Entire home/apt,179,3.04
Private Blu Penthouse Brownstone 1 BR Harlem NYC,40.8155,-73.94578,Entire home/apt,160,3.04
Stunning Brand New 2bed/2bath House Best Loacation,40.74187,-74.00622,Entire home/apt,600,3.04
little place in Bushwick,40.69377,-73.91269,Private room,40,3.04
⭐️Walk + Transit Score 97⭐️8min to Yankee Std⭐️,40.82097,-73.92739,Entire home/apt,145,3.04
A Guest Room in a Bushwick Artist/Musician's Loft,40.70798,-73.93652,Shared room,64,3.04
Cozy gem in the  heart of TriBeca!!,40.71863,-74.0117,Entire home/apt,220,3.04
Warm Comfy Queen Bedroom 2GR,40.66958,-73.92361,Private room,52,3.04
Hideaway Studio,40.84711,-73.83039,Entire home/apt,80,3.04
Small studio in the heart of hells kitchen,40.76366,-73.99096,Entire home/apt,135,3.04
*AWESOME PLACE*2 MIN SUBWAY!,40.68235,-73.90381,Private room,48,3.04
The Greenland In Harlem NYC,40.81304,-73.9456,Private room,105,3.04
"Spacious Park View Parlor Floor, Artists Townhouse",40.68352,-73.92009,Entire home/apt,112,3.04
